label,colors,,R,G,B,,,
Tree Height = 1-5 m,#D6E7CF,,214,231,207,,,
Tree Height = 5-10 m,#ADD2A0,,173,210,160,,,
Tree Height = 10-15 m,#84BE75,,132,190,117,,,
Tree Height = 15-20 m,#57AE4D,,87,174,77,,,
Tree Height = 20-25 m,#3A8534,,58,133,52,,,
Tree Height = 25-30 m,#036E3A,,3,110,58,,,
Tree Height = 35-40 m,#1A5525,,26,85,37,,,
Tree Height = 40-45 m,#004624,,0,70,37,,,
Tree Height = 45-50 m,#001F10,,0,31,16,,,
Tree Height = 50-55 m,#001F11,,0,31,16,,,
Tree Height = 55-60 m,#001F12,,0,31,16,,,
Tree Height = 60-65 m,#001F13,,0,31,16,,,
Tree Height = 65-70 m,#001F14,,0,31,16,,,
Tree Height = 70-75 m,#001F15,,0,31,16,,,
Tree Height = 75-80 m,#001F16,,0,31,16,,,
Tree Height = 80-85 m,#001F17,,0,31,16,,,
Tree Height = 85-90 m,#001F18,,0,31,16,,,
Tree Height = 90-95 m,#001F19,,0,31,16,,,
Tree Height = 95-100 m,#001F20,,0,31,16,,,
Shrub Height = 0.1-0.2 m,#EDE1C6,,237,225,198,,,
Shrub Height = 0.2-0.3 m,#EBDEC1,,235,222,193,,,
Shrub Height = 0.3-0.4 m,#E9DCBB,,233,220,187,,,
Shrub Height = 0.4-0.5 m,#E7D9B6,,231,217,182,,,
Shrub Height = 0.5-0.6 m,#E5D6B1,,229,214,177,,,
Shrub Height = 0.6-0.7 m,#E3D3AC,,227,211,172,,,
Shrub Height = 0.7-0.8 m,#E1D1A6,,225,209,166,,,
Shrub Height = 0.8-0.9 m,#E0CEA1,,224,206,161,,,
Shrub Height = 0.9-1.0 m,#DECC9C,,222,204,156,,,
Shrub Height = 1-5 m,#311E13,,49,30,19,,,
Herb Height = 0.1-0.2 m,#AAD5CD,,170,213,205,,,
Herb Height = 0.2-0.3 m,#88C5B9,,136,197,185,,,
Herb Height = 0.3-0.4 m,#66B4A5,,102,180,165,,,
Herb Height = 0.4-0.5 m,#44A391,,68,163,145,,,
Herb Height = 0.5-0.6 m,#25937D,,37,147,125,,,
Herb Height = 0.6-0.7 m,#008269,,0,130,105,,,
Herb Height = 0.7-0.8 m,#007B7A,,0,123,122,,,
Herb Height = 0.8-0.9 m,#006B75,,0,107,117,,,
Herb Height = 0.9-1.0 m,#005058,,0,80,88,,,
Herb Height = 1-5 m,#013338,,1,51,56,,,
Open Water,#D7EDF7,,215,237,247,,,
Developed,#948E8E,,148,142,142,,,
Agriculture,#D6D24D,,214,210,77,,,
Sparse Vegetation,#7E6A80,,126,106,128,,,
Barren,#C0B4B0,,192,180,176,,,
Quarries,#CCCCCC,,204,204,204,,,
