"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,840,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,187,0.8
"2",13,471,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,105,0.4
"3",14,51,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,11,0
"4",15,156,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,35,0.1
"5",16,38,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,8,0
"6",17,5,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,1,0
"7",22,21,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,5,0
"8",23,10,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,2,0
"9",24,2,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,0,0
"10",25,552,278209151,"Developed-Roads",0,0,0,0,0,0,123,0.5
"11",63,1,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,0,0
"12",64,20,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,4,0
"13",65,34,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,8,0
"14",101,24,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,5,0
"15",102,22,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,5,0
"16",103,21,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,5,0
"17",104,36,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,8,0
"18",105,55,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,12,0.1
"19",106,87,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,19,0.1
"20",107,144,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,32,0.1
"21",108,345,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,77,0.3
"22",109,543,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,121,0.5
"23",110,1149,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,256,1.1
"24",111,2696,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,600,2.5
"25",112,5287,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,1176,4.9
"26",113,8082,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,1797,7.4
"27",114,9322,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,2073,8.6
"28",115,9284,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,2065,8.5
"29",116,9070,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,2017,8.3
"30",117,9148,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,2034,8.4
"31",118,9361,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,2082,8.6
"32",119,9382,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,2087,8.6
"33",120,9025,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,2007,8.3
"34",121,8018,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,1783,7.4
"35",122,6214,130787915,"Tree Height = 22 meters",71,164,64,0.278431373,0.643137255,0.250980392,1382,5.7
"36",123,4500,108221951,"Tree Height = 23 meters",66,154,60,0.258823529,0.603921569,0.235294118,1001,4.1
"37",124,3136,87181121,"Tree Height = 24 meters",62,143,56,0.243137255,0.560784314,0.219607843,697,2.9
"38",125,752,66488811,"Tree Height = 25 meters",58,133,52,0.22745098,0.521568627,0.203921569,167,0.7
"39",126,268,38847407,"Tree Height = 26 meters",50,126,51,0.196078431,0.494117647,0.2,60,0.2
"40",127,46,28602678,"Tree Height = 27 meters",36,122,53,0.141176471,0.478431373,0.207843137,10,0
"41",222,1,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,0,0
"42",223,2,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,0,0
"43",224,1,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,0,0
"44",225,1,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,0,0
"45",226,1,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,0,0
"46",229,1,4373514,"Shrub Height = 2.9 meters",56,34,21,0.219607843,0.133333333,0.082352941,0,0
"47",230,17,24747653,"Shrub Height >= 3.0 meters",49,30,19,0.192156863,0.117647059,0.074509804,4,0
"48",301,261,45690172,"Herb Height = 0.1 meter",204,230,225,0.8,0.901960784,0.882352941,58,0.2
"49",303,67,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,15,0.1
"50",310,110,181217492,"Herb Height >= 1 meter",0,80,88,0,0.31372549,0.345098039,24,0.1
